TimeId,GameId,Day,Month,Year,StartTime
277,2013R0807,19,5,2013,1:10 PM
278,2013R0808,19,5,2013,3:20 PM
279,2013R0809,19,5,2013,4:10 PM
280,2013R0901,24,5,2013,7:50 PM
281,2013R0902,25,5,2013,1:15 PM
282,2013R0903,25,5,2013,2:10 PM
283,2013R0904,25,5,2013,4:40 PM
284,2013R0905,25,5,2013,7:40 PM
285,2013R0906,25,5,2013,7:45 PM
286,2013R0907,26,5,2013,1:10 PM
287,2013R0908,26,5,2013,3:20 PM
288,2013R0909,26,5,2013,2:40 PM
289,2013R1001,31,5,2013,7:50 PM
290,2013R1002,1,6,2013,1:45 PM
291,2013R1003,1,6,2013,1:40 PM
292,2013R1004,1,6,2013,4:40 PM
293,2013R1005,1,6,2013,7:10 PM
294,2013R1006,1,6,2013,7:40 PM
295,2013R1007,2,6,2013,3:20 PM
296,2013R1008,2,6,2013,4:40 PM
297,2013R1009,3,6,2013,5:40 PM
298,2013R1101,7,6,2013,7:50 PM
299,2013R1102,8,6,2013,1:40 PM
300,2013R1103,8,6,2013,4:10 PM
301,2013R1104,8,6,2013,7:40 PM
302,2013R1105,9,6,2013,4:40 PM
303,2013R1106,10,6,2013,3:20 PM
304,2013R1201,14,6,2013,7:50 PM
305,2013R1202,15,6,2013,1:40 PM
306,2013R1203,15,6,2013,2:40 PM
307,2013R1204,15,6,2013,7:40 PM
308,2013R1205,16,6,2013,1:10 PM
309,2013R1206,16,6,2013,4:40 PM
310,2013R1301,21,6,2013,7:50 PM
311,2013R1302,22,6,2013,1:10 PM
312,2013R1303,22,6,2013,4:40 PM
313,2013R1304,22,6,2013,7:40 PM
314,2013R1305,23,6,2013,1:20 PM
315,2013R1306,23,6,2013,4:40 PM
316,2013R1401,27,6,2013,6:10 PM
317,2013R1402,28,6,2013,7:50 PM
318,2013R1403,29,6,2013,1:40 PM
319,2013R1404,29,6,2013,4:10 PM
320,2013R1405,29,6,2013,7:40 PM
321,2013R1406,29,6,2013,7:40 PM
322,2013R1407,30,6,2013,1:10 PM
323,2013R1408,30,6,2013,3:20 PM
324,2013R1409,30,6,2013,4:40 PM
325,2013R1501,5,7,2013,7:50 PM
326,2013R1502,6,7,2013,1:45 PM
327,2013R1503,6,7,2013,2:10 PM
328,2013R1504,6,7,2013,4:40 PM
329,2013R1505,6,7,2013,7:10 PM
330,2013R1506,6,7,2013,7:40 PM
331,2013R1507,7,7,2013,1:10 PM
332,2013R1508,7,7,2013,1:20 PM
333,2013R1509,7,7,2013,4:40 PM
334,2013R1601,12,7,2013,7:50 PM
335,2013R1602,13,7,2013,1:15 PM
336,2013R1603,13,7,2013,2:10 PM
337,2013R1604,13,7,2013,4:40 PM
338,2013R1605,13,7,2013,7:40 PM
339,2013R1606,13,7,2013,7:40 PM
